algorithm,puzzle,time,nodes
Backtracking (pure),1,0.004073143005371094,1387
Backtracking (MRV),1,0.008256912231445312,100
Backtracking (MCV),1,5.425590991973877,225329
Backtracking (LCV),1,0.016217708587646484,1445
AC-3 + Backtracking (pure),1,0.0019779205322265625,317
AC-3 + Backtracking (MRV),1,0.005202054977416992,86
AC-3 + Backtracking (MCV),1,3.6248867511749268,195092
AC-3 + Backtracking (LCV),1,0.005079030990600586,309
Backtracking (pure),2,0.0008237361907958984,315
Backtracking (MRV),2,0.0029299259185791016,49
Backtracking (MCV),2,6.9581451416015625,302482
Backtracking (LCV),2,0.03753924369812012,3605
AC-3 + Backtracking (pure),2,0.0018107891082763672,0
AC-3 + Backtracking (MRV),2,0.0017180442810058594,0
AC-3 + Backtracking (MCV),2,0.0017240047454833984,0
AC-3 + Backtracking (LCV),2,0.0018970966339111328,0
Backtracking (pure),3,0.038252830505371094,15195
Backtracking (MRV),3,0.036778926849365234,507
Backtracking (LCV),3,0.15995287895202637,15188
AC-3 + Backtracking (pure),3,0.03839707374572754,15189
AC-3 + Backtracking (MRV),3,0.035253047943115234,504
AC-3 + Backtracking (LCV),3,0.15852904319763184,15182
Backtracking (pure),4,0.0005230903625488281,206
Backtracking (MRV),4,0.0026090145111083984,49
Backtracking (MCV),4,1.0040199756622314,42892
Backtracking (LCV),4,0.0016589164733886719,110
AC-3 + Backtracking (pure),4,0.0015480518341064453,0
AC-3 + Backtracking (MRV),4,0.001497030258178711,0
AC-3 + Backtracking (MCV),4,0.0016829967498779297,0
AC-3 + Backtracking (LCV),4,0.0015020370483398438,0
Backtracking (pure),5,0.13604092597961426,55744
Backtracking (MRV),5,0.005248069763183594,79
Backtracking (MCV),5,2.935612201690674,120337
Backtracking (LCV),5,0.5050051212310791,55698
AC-3 + Backtracking (pure),5,0.04770398139953613,18707
AC-3 + Backtracking (MRV),5,0.005584716796875,76
AC-3 + Backtracking (MCV),5,17.98192000389099,814906
AC-3 + Backtracking (LCV),5,0.18888378143310547,18665
Backtracking (pure),6,0.004081010818481445,1645
Backtracking (MRV),6,0.0025658607482910156,49
Backtracking (MCV),6,0.8825929164886475,34569
Backtracking (LCV),6,0.002101898193359375,176
AC-3 + Backtracking (pure),6,0.001734018325805664,4
AC-3 + Backtracking (MRV),6,0.0017600059509277344,4
AC-3 + Backtracking (MCV),6,0.0019702911376953125,4
AC-3 + Backtracking (LCV),6,0.001706838607788086,4
Backtracking (pure),7,0.0012831687927246094,507
Backtracking (MRV),7,0.002579212188720703,49
Backtracking (MCV),7,1.889646053314209,77244
Backtracking (LCV),7,0.00970315933227539,157
AC-3 + Backtracking (pure),7,0.0018620491027832031,0
AC-3 + Backtracking (MRV),7,0.0018041133880615234,0
AC-3 + Backtracking (MCV),7,0.0021467208862304688,0
AC-3 + Backtracking (LCV),7,0.0019960403442382812,0
Backtracking (pure),8,0.12242507934570312,43344
Backtracking (MRV),8,0.01670098304748535,293
Backtracking (MCV),8,20.19470500946045,792861
Backtracking (LCV),8,0.45236992835998535,46270
AC-3 + Backtracking (pure),8,0.10507321357727051,43344
AC-3 + Backtracking (MRV),8,0.017186880111694336,293
AC-3 + Backtracking (MCV),8,20.004241943359375,792861
AC-3 + Backtracking (LCV),8,0.4543271064758301,46270
Backtracking (pure),9,0.0026979446411132812,1143
Backtracking (MRV),9,0.011794805526733398,205
Backtracking (MCV),9,49.63271498680115,2028808
Backtracking (LCV),9,0.15819072723388672,16842
AC-3 + Backtracking (pure),9,0.002534151077270508,725
AC-3 + Backtracking (MRV),9,0.011892080307006836,199
AC-3 + Backtracking (MCV),9,16.661197185516357,764816
AC-3 + Backtracking (LCV),9,0.09317708015441895,10440
Backtracking (pure),10,0.007592916488647461,3050
Backtracking (MRV),10,0.002649068832397461,49
Backtracking (MCV),10,1.9383111000061035,76070
Backtracking (LCV),10,0.03130626678466797,2985
AC-3 + Backtracking (pure),10,0.0016319751739501953,0
AC-3 + Backtracking (MRV),10,0.0016252994537353516,0
AC-3 + Backtracking (MCV),10,0.0016510486602783203,0
AC-3 + Backtracking (LCV),10,0.0016078948974609375,0
