32,9,38,25,24,33,6,16,24
23,14,28,19,26,18,21,15,28
25,13,37,2,36,19,12,29,22
25,17,8,9,19,26,25,17,33
19,16,25,17,17,44,29,36,34
20,25,23,39,31,30,20,33,34
17,11,17,24,40,28,27,19,22
32,29,38,30,24,20,32,19,17
23,25,24,7,9,33,13,20,29
26,29,19,17,1,34,22,22,20
12,24,34,8,28,15,4,20,14
21,19,15,34,10,26,19,12,7
44,38,33,25,22,38,31,23,17
21,21,25,20,17,33,34,32,24
15,23,21,17,24,33,20,9,30
14,18,19,22,16,23,3,36,30
38,28,23,19,14,27,13,18,32
14,24,6,41,25,21,21,26,16
14,14,16,15,24,24,4,18,33
17,32,18,19,14,24,15,16,25
